id,locality,post_code,,
28046,Hillston,2675,,
28047,Holbrook,2644,,
28048,Holts Flat,2631,,
28049,Hopefield,2646,,
28050,Hoskinstown,2621,,
28051,Howlong,2643,,
28052,Humula,2652,,
28053,Illabo,2590,,
28054,Indi,2642,,
28055,Ingebirah,2627,,
28056,Ironmungy,2630,,
28057,Jackalass,2722,,
28058,Jagumba,2642,,
28059,Jagungal Wilderness,2642,,
28060,Jeir,2582,,
28061,Jembaicumbene,2622,,
28062,Jerangle,2630,,
28063,Jerilderie,2716,,
28064,Jerrabattgulla,2622,,
28065,Jerrabomberra,2619,,
28066,Jerrawa,2582,,
28067,Jerrong,2580,,
28068,Jimenbuen,2630,,
28069,Jincumbilly,2631,,
28070,Jindabyne,2627,,
28071,Jinden,2622,,
28072,Jindera,2642,,
28073,Jingellic,2642,,
28074,Jingera,2622,,
28075,Jones Bridge,2720,,
28076,Jones Creek,2722,,
28077,Jugiong,2726,,
28078,Junction Point,2583,,
28079,Junee,2663,,
28080,Junee Reefs,2666,,
28081,Kalkite,2627,,
28082,Kamarah,2665,,
28083,Kangiara,2582,,
28084,Kapooka,2661,,
28085,Karabar,2620,,
28086,Kempton,2583,,
28087,Kenyu,2586,,
28088,Keri Keri,2711,,
28089,Khancoban,2642,,
28090,Kialla,2583,,
28091,Kikiamah,2594,,
28092,Kikoira,2669,,
28093,Killimicat,2720,,
28094,Kindervale,2622,,
28095,Kingsdale,2580,,
28096,Kingsvale,2587,,
28097,Kooba,2680,,
28098,Kooringal,2650,,
28099,Kosciuszko,2624,,
28100,Krawarree,2622,,
28101,Kubura,2655,,
28102,Kunama,2730,,
28103,Kybeyan,2631,,
28104,Kyeamba,2650,,
28105,Kywong,2700,,
28106,Lacmalac,2720,,
28107,Lade Vale,2581,,
28108,Ladysmith,2652,,
28109,Laggan,2583,,
28110,Lake Albert,2650,,
28111,Lake Bathurst,2580,,
28112,Lake Brewster,2675,,
28113,Lake Cargelligo,2672,,
28114,Lake Cowal,2671,,
28115,Lake George,2581,,
28116,Lake Hume Village,2640,,
28117,Lake Wyangan,2680,,
28118,Landervale,2663,,
28119,Lankeys Creek,2644,,
28120,Larbert,2622,,
28121,Laurel Hill,2649,,
28122,Laverstock,2582,,
28123,Lavington,2640,,
28124,Lavington,2641,,
28125,Leeton,2705,,
28126,Leighwood,2580,,
28127,Lerida,2581,,
28128,Letchworth,2620,,
28129,Limerick,2583,,
28130,Lindifferon,2710,,
28131,Little Billabong,2644,,
28132,Little River,2720,,
28133,Lloyd,2650,,
28134,Lockhart,2656,,
28135,Logie Brae,2713,,
28136,Long Plain,2629,,
28137,Lords Hill,2632,,
28138,Lost River,2583,,
28139,Lower Bago,2730,,
28140,Lower Boro,2580,,
28141,Lowesdale,2646,,
28142,Mabins Well,2716,,
28143,Maffra,2630,,
28144,Maimuru,2594,,
28145,Mairjimmy,2716,,
28146,Majors Creek,2622,,
28147,Manar,2622,,
28148,Mangoplah,2652,,
28149,Mannus,2653,,
28150,Manton,2582,,
28151,Maragle,2653,,
28152,Marchmont,2582,,
28153,Marinna,2663,,
28154,Marlowe,2622,,
28155,Marrar,2652,,
28156,Mathoura,2710,,
28157,Matong,2652,,
28158,Maude,2711,,
28159,Maxwell,2650,,
28160,Mayfield,2580,,
28161,Mayrung,2710,,
28162,Mcalister,2580,,
28163,Mcmahons Reef,2587,,
28164,Melbergen,2669,,
28165,Memagong,2594,,
28166,Merriangaah,2632,,
28167,Merricumbene,2622,,
28168,Merrill,2581,,
28169,Merriwagga,2652,,
28170,Merungle Hill,2705,,
28171,Methul,2701,,
28172,Michelago,2620,,
28173,Middle Arm,2580,,
28174,Middle Flat,2630,,
28175,Middlingbank,2630,,
28176,Mila,2632,,
28177,Milbrulong,2656,,
28178,Milvale,2594,,
28179,Mimosa,2666,,
28180,Mingay,2727,,
28181,Minjary,2720,,
28182,Mirrool,2665,,
28183,Moira,2710,,
28184,Monga,2622,,
28185,Mongarlowe,2622,,
28186,Monia Gap,2675,,
28187,Monteagle,2594,,
28188,Moombooldool,2665,,
28189,Moonahcullah,2710,,
28190,Moonbah,2627,,
28191,Moonbria,2710,,
28192,Moorong,2650,,
28193,Moorwatha,2640,,
28194,Morago,2710,,
